Organism/Name	BioProject Accession	Size (Mb)	GC%	Replicons	Scaffolds	Genes	Proteins	Status	Assembly Accession	FTP_path	PubMedID
Mycobacterium tuberculosis H37Rv	PRJNA224	4.41153	65.6	chromosome:NC_000962.3/AL123456.3	1	4008	3906	Complete Genome	GCA_000195955.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2	9634230,12368430,20980199
Bifidobacterium longum subsp. longum JCM 1217	PRJDA32047	2.38516	60.3	chromosome:NC_015067.1/AP010888.1	1	2023	1900	Complete Genome	GCA_000196555.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/555/GCA_000196555.1_ASM19655v1	21270894
Streptomyces avermitilis MA-4680 = NBRC 14893	PRJNA189	9.11989	70.6845	chromosome:NC_003155.5/BA000030.4; plasmid SAP1:NC_004719.1/AP005645.1	2	8044	7615	Complete Genome	GCA_000009765.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/765/GCA_000009765.2_ASM976v2	11572948,12692562,23990133
Saccharopolyspora erythraea NRRL 2338	PRJEA18489	8.2128	71.1	chromosome:NC_009142.1/AM420293.1	1	7294	7052	Complete Genome	GCA_000062885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/062/885/GCA_000062885.1_ASM6288v1	17369815
Mycobacterium kansasii ATCC 12478	PRJNA30907	6.57723	66.1912	chromosome:NC_022663.1/CP006835.1; plasmid pMK12478:NC_022654.1/CP006836.1	2	5809	5444	Complete Genome	GCA_000157895.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/157/895/GCA_000157895.2_ASM15789v2	-
Mycobacteroides chelonae CCUG 47445	PRJNA237578	5.02982	63.9	chromosome:NZ_CP007220.1/CP007220.1	1	4906	4804	Complete Genome	GCA_001632805.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/805/GCF_001632805.1_ASM163280v1	27284158
Bifidobacterium pseudolongum subsp. globosum DSM 20092	PRJNA348625	1.97816	63.3	chromosome:NZ_CP017695.1/CP017695.1	1	1663	1570	Complete Genome	GCA_002706665.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/706/665/GCF_002706665.1_ASM270666v1	-
Actinoplanes missouriensis 431	PRJDA29027	8.77347	70.8	chromosome:NC_017093.1/AP012319.1	1	8174	7973	Complete Genome	GCA_000284295.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/295/GCA_000284295.1_ASM28429v1	-
Streptomyces rimosus subsp. rimosus ATCC 10970	PRJNA182749	9.64389	71.9272	chromosome:NZ_CP048261.1/CP048261.1; plasmid pSRP1:NZ_CP048262.1/CP048262.1	2	8485	8166	Complete Genome	GCA_000331185.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/185/GCA_000331185.2_ASM33118v2	-
Streptomyces fradiae ATCC 10745 = DSM 40063	PRJNA412292	6.72558	74.7	chromosome:NZ_CP023696.1/CP023696.1	1	5822	5545	Complete Genome	GCA_008704425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/425/GCF_008704425.1_ASM870442v1	-
Corynebacterium kroppenstedtii DSM 44385	PRJNA38011	2.4468	57.5	chromosome:NC_012704.1/CP001620.1	1	2108	2014	Complete Genome	GCA_000023145.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/145/GCA_000023145.1_ASM2314v1	18430482
Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	PRJDB58	2.07952	56.2	chromosome:NZ_AP012325.1/AP012325.1	1	1759	1644	Complete Genome	GCA_001025195.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/025/195/GCF_001025195.1_ASM102519v1	-
Corynebacterium stationis	PRJNA242207	2.86223	54.8785	chromosome:NZ_CP009251.1/CP009251.1; plasmid pCstat1:NZ_CP009252.1/CP009252.1	2	2658	2541	Complete Genome	GCA_001941345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/345/GCF_001941345.1_ASM194134v1	-
Nocardiopsis dassonvillei	PRJEB6403	6.54127	72.7	chromosome 1:NZ_LR134501.1/LR134501.1	1	5599	5460	Complete Genome	GCA_900638215.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/638/215/GCA_900638215.1_56553_A01	-
Streptomyces mobaraensis	PRJNA758832	7.66806	73.0966	chromosome:NZ_CP083590.1/CP083590.1; plasmid pDSM40587:NZ_CP083591.1/CP083591.1	2	6739	6427	Complete Genome	GCA_020099395.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/099/395/GCA_020099395.1_ASM2009939v1	-
Mycobacterium simiae	PRJDB7717	5.78899	66.2	chromosome:NZ_AP022568.1/AP022568.1	1	5425	5230	Complete Genome	GCA_010727605.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/727/605/GCA_010727605.1_ASM1072760v1	31287781
Streptomyces xinghaiensis S187	PRJNA67543	7.13789	73.1	chromosome:NZ_CP023202.1/CP023202.1	1	6161	5868	Complete Genome	GCA_000220705.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/705/GCA_000220705.2_ASM22070v2	21914869
Micromonospora aurantiaca ATCC 27029	PRJNA37957	7.02556	72.8	chromosome:NC_014391.1/CP002162.1	1	6371	6221	Complete Genome	GCA_000145235.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/235/GCA_000145235.1_ASM14523v1	-
Mycobacterium pseudoshottsii JCM 15466	PRJDB6390	6.0616	65.6	chromosome:NZ_AP018410.1/AP018410.1	1	5414	4758	Complete Genome	GCA_003584745.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/584/745/GCF_003584745.1_ASM358474v1	-
Adlercreutzia equolifaciens DSM 19450	PRJDB1443	2.86253	63.5	chromosome:NC_022567.1/AP013105.1	1	2336	2262	Complete Genome	GCA_000478885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/478/885/GCA_000478885.1_ASM47888v1	24051320
Leifsonia xyli subsp. cynodontis DSM 46306	PRJNA215687	2.68642	68.3	chromosome:NC_022438.1/CP006734.1	1	2720	2370	Complete Genome	GCA_000470775.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/470/775/GCA_000470775.1_ASM47077v1	24201198
Frankia casuarinae	PRJNA13963	5.43363	70.1	chromosome:NC_007777.1/CP000249.1	1	4740	4501	Complete Genome	GCA_000013345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/345/GCA_000013345.1_ASM1334v1	17151343
Kocuria flava	PRJNA302237	3.63834	73.945	chromosome:NZ_CP013254.1/CP013254.1; plasmid 1:NZ_CP013255.1/CP013255.1; plasmid 2:NZ_CP013256.1/CP013256.1; plasmid 3:NZ_CP013257.1/CP013257.1; plasmid 4:NZ_CP013258.1/CP013258.1	5	3302	3184	Complete Genome	GCA_001482365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/482/365/GCF_001482365.1_ASM148236v1	-
Arthrobacter crystallopoietes	PRJNA357926	5.0327	64.3581	chromosome:NZ_CP018863.1/CP018863.1; plasmid pLDW-9:NZ_CP018864.1/CP018864.1; plasmid pLDW-10:NZ_CP018865.1/CP018865.1	3	4663	4525	Complete Genome	GCA_002849715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/849/715/GCF_002849715.1_ASM284971v1	-
Corynebacterium tuberculostearicum	PRJNA231221	2.45185	59.7	chromosome:NZ_CP068156.1/CP068156.1	1	2324	2215	Complete Genome	GCA_016728365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/728/365/GCA_016728365.1_ASM1672836v1	-
Mycolicibacterium mageritense	PRJDB7717	8.00672	66.9	chromosome:NZ_AP022567.1/AP022567.1	1	7800	7591	Complete Genome	GCA_010727475.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/727/475/GCA_010727475.1_ASM1072747v1	31287781
Acidipropionibacterium acidipropionici	PRJNA300904	3.65138	68.8	chromosome:NZ_CP013126.1/CP013126.1	1	3376	3219	Complete Genome	GCA_001441165.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/441/165/GCF_001441165.1_ASM144116v1	-
Streptomyces ambofaciens ATCC 23877	PRJNA93	8.3936	72.168	chromosome:NZ_CP012382.1/CP012382.1; plasmid pSAM1:NZ_CP012383.1/CP012383.1	2	7524	7217	Complete Genome	GCA_001267885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/267/885/GCF_001267885.1_ASM126788v1	-
Kineococcus radiotolerans SRS30216 = ATCC BAA-149	PRJNA10689	4.95667	74.2104	chromosome:NC_009664.2/CP000750.2; plasmid pKRAD01:NC_009806.1/CP000751.1; plasmid pKRAD02:NC_009660.1/CP000752.1	3	4785	4619	Complete Genome	GCA_000017305.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/305/GCA_000017305.1_ASM1730v1	-
Corynebacterium afermentans subsp. lipophilum	PRJNA417152	2.3538	65.2	chromosome:CP046530.1	1	2231	2164	Complete Genome	GCA_030408375.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/408/375/GCF_030408375.1_ASM3040837v1	-
Bifidobacterium angulatum DSM 20098 = JCM 7096	PRJDB55	2.02197	59.4	chromosome:NZ_AP012322.1/AP012322.1	1	1626	1530	Complete Genome	GCA_001025155.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/025/155/GCF_001025155.1_ASM102515v1	-
Mycolicibacterium vaccae 95051	PRJNA210723	6.23575	68.6	chromosome:NZ_CP011491.1/CP011491.1	1	5949	5819	Complete Genome	GCA_001655245.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/655/245/GCF_001655245.1_ASM165524v1	-
Cellulomonas fimi ATCC 484	PRJNA33691	4.26634	74.7	chromosome:NC_015514.1/CP002666.1	1	3871	3762	Complete Genome	GCA_000212695.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/695/GCA_000212695.1_ASM21269v1	-
Rothia dentocariosa ATCC 17931	PRJNA48447	2.50603	53.7	chromosome:NC_014643.1/CP002280.1	1	2153	2075	Complete Genome	GCA_000164695.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/695/GCA_000164695.2_ASM16469v2	-
Streptomyces spectabilis	PRJNA412292	9.80716	72.4	chromosome:NZ_CP023690.1/CP023690.1	1	8281	8050	Complete Genome	GCA_008704795.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/795/GCF_008704795.1_ASM870479v1	-
Streptomyces griseofuscus	PRJNA622435	9.11667	71.6018	chromosome:NZ_CP051006.1/CP051006.1; plasmid pSGRIFU1:NZ_CP051007.1/CP051007.1; plasmid pSGRIFU2:NZ_CP051008.1/CP051008.1; plasmid pSGRIFU3:NZ_CP051009.1/CP051009.1	4	8253	7844	Complete Genome	GCA_014673495.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/673/495/GCA_014673495.1_ASM1467349v1	33214305
Streptomyces angustmyceticus	PRJNA759542	8.11638	72.2	chromosome:NZ_CP082945.1/CP082945.1	1	7111	6851	Complete Genome	GCA_019933235.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/933/235/GCA_019933235.1_ASM1993323v1	-
Micromonospora carbonacea	PRJNA642908	7.52834	74	chromosome:NZ_CP058322.1/CP058322.1	1	6389	6204	Complete Genome	GCA_013389765.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/389/765/GCA_013389765.1_ASM1338976v1	-
Mycolicibacterium senegalense	PRJNA747101	6.08672	66.6	chromosome:NZ_CP081000.1/CP081000.1	1	5808	5683	Complete Genome	GCA_019645875.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/645/875/GCA_019645875.1_ASM1964587v1	36651784
Mycolicibacterium litorale	PRJDB7717	5.57951	68.9	chromosome:NZ_AP022586.1/AP022586.1	1	5395	5256	Complete Genome	GCA_010731695.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/731/695/GCA_010731695.1_ASM1073169v1	31287781
Mycobacterium shigaense	PRJDB5818	5.23266	67.3	chromosome:NZ_AP018164.1/AP018164.1	1	4941	4654	Complete Genome	GCA_002356315.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/315/GCF_002356315.1_ASM235631v1	29930060
Paenarthrobacter nicotinovorans	PRJNA693273	4.48133	63.071	chromosome:NZ_CP089293.1/CP089293.1; plasmid pAO1:NZ_CP089294.1/CP089294.1	2	4173	4068	Complete Genome	GCA_021919345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/919/345/GCA_021919345.1_ASM2191934v1	-
Microbacterium foliorum	PRJNA484194	3.56814	68.7	chromosome:NZ_CP031425.1/CP031425.1	1	3379	3302	Complete Genome	GCA_003367705.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/367/705/GCF_003367705.1_ASM336770v1	-
Mycobacterium lepromatosis	PRJNA281005	3.27169	57.9	chromosome:NZ_CP083405.1/CP083405.1	1	3075	2398	Complete Genome	GCA_000975265.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/975/265/GCA_000975265.2_ASM97526v2	-
Aurantimicrobium photophilum	PRJNA386293	1.74806	54.6	chromosome:NZ_CP023994.1/CP023994.1	1	1761	1703	Complete Genome	GCA_003194085.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/194/085/GCF_003194085.1_ASM319408v1	-
Corynebacterium durum	PRJNA289546	2.78686	57.2	chromosome:CP047200.1	1	2637	2569	Complete Genome	GCA_030408675.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/408/675/GCF_030408675.1_ASM3040867v1	-
Corynebacterium minutissimum	PRJEB6403	2.69597	59.9	chromosome 1:NZ_LS483460.1/LS483460.1	1	2505	2398	Complete Genome	GCA_900478045.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/045/GCA_900478045.1_47555_C02	-
Nocardia asteroides	PRJEB6403	6.98336	69.9	chromosome 1:NZ_LR134352.1/LR134352.1	1	6476	6303	Complete Genome	GCA_900637185.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/185/GCA_900637185.1_49867_H01	-
Pseudarthrobacter chlorophenolicus A6	PRJNA20011	4.98087	65.9781	chromosome:NC_011886.1/CP001341.1; plasmid pACHL01:NC_011879.1/CP001342.1; plasmid pACHL02:NC_011881.1/CP001343.1	3	4715	4561	Complete Genome	GCA_000022025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/025/GCA_000022025.1_ASM2202v1	-
Actinomyces oris	PRJNA231221	3.1904	68.457	chromosome:NZ_CP066060.1/CP066060.1; plasmid unnamed:NZ_CP066061.1/CP066061.1	2	2664	2575	Complete Genome	GCA_016127955.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/127/955/GCA_016127955.1_ASM1612795v1	-
Corynebacterium urealyticum	PRJEB6403	2.37753	64.2	chromosome 1:NZ_LT906481.1/LT906481.1	1	2064	1967	Complete Genome	GCA_900187235.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/235/GCA_900187235.1_52184_D01	-
Actinotignum schaalii	PRJNA247940	2.15931	62.2	chromosome:NZ_CP008802.1/CP008802.1	1	1808	1726	Complete Genome	GCA_000724605.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/724/605/GCA_000724605.1_ASM72460v1	25189588
Glutamicibacter arilaitensis Re117	PRJEA50353	3.91819	59.2853	chromosome:NC_014550.1/FQ311875.1; plasmid pRE117-1:NC_014549.1/FQ311475.1; plasmid pRE117-2:NC_014548.1/FQ311476.1	3	3679	3490	Complete Genome	GCA_000197735.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/197/735/GCA_000197735.1_ASM19773v1	21124797
Corynebacterium aurimucosum ATCC 700975	PRJNA37279	2.81923	60.5248	chromosome:NC_012590.1/CP001601.1; plasmid pET44827:NC_010813.1/FM164414.1	2	2661	2536	Complete Genome	GCA_000022905.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/905/GCA_000022905.1_ASM2290v1	20137072
Parascardovia denticolens DSM 10105 = JCM 12538	PRJDB64	1.89086	58.3	chromosome:NZ_AP012333.1/AP012333.1	1	1585	1510	Complete Genome	GCA_001042675.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/675/GCF_001042675.1_ASM104267v1	25977413
Actinoplanes teichomyceticus ATCC 31121	PRJNA400386	8.28715	72.7	chromosome:NZ_CP023865.1/CP023865.1	1	7299	7067	Complete Genome	GCA_003711105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/711/105/GCF_003711105.1_ASM371110v1	-
Saccharomonospora viridis DSM 43017	PRJNA20835	4.30835	67.3	chromosome:NC_013159.1/CP001683.1	1	3950	3846	Complete Genome	GCA_000023865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/865/GCA_000023865.1_ASM2386v1	21304650
Intrasporangium calvum DSM 43043	PRJNA43527	4.02438	70.7	chromosome:NC_014830.1/CP002343.1	1	3700	3585	Complete Genome	GCA_000184685.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/685/GCA_000184685.1_ASM18468v1	21304734
